id_match,match_number,stage,group,home_team,away_team,hot,hot_reason,home_score,away_score,match_status,start_utc,start_local,local_timezone,start_china,venue,city,country,source_page_url,api_url
400021511,46,First Stage,Group L,Panama,Croatia,True,High-attention team,,,1,2026-06-23T23:00:00+00:00,2026-06-23T19:00:00-04:00,America/Toronto,2026-06-24T07:00:00+08:00,Toronto Stadium,Toronto,Canada,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/match-schedule-fixtures-results-teams-stadiums,https://api.fifa.com/api/v3/calendar/matches?language=en&count=500&idCompetition=17&from=2026-06-01T00%3A00%3A00Z&to=2026-07-30T00%3A00%3A00Z
400021503,47,First Stage,Group K,Portugal,Uzbekistan,False,,,,1,2026-06-23T17:00:00+00:00,2026-06-23T12:00:00-05:00,America/Chicago,2026-06-24T01:00:00+08:00,Houston Stadium,Houston,USA,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/match-schedule-fixtures-results-teams-stadiums,https://api.fifa.com/api/v3/calendar/matches?language=en&count=500&idCompetition=17&from=2026-06-01T00%3A00%3A00Z&to=2026-07-30T00%3A00%3A00Z
400021501,48,First Stage,Group K,Colombia,Congo DR,True,High-attention team,,,1,2026-06-24T02:00:00+00:00,2026-06-23T20:00:00-06:00,America/Mexico_City,2026-06-24T10:00:00+08:00,Guadalajara Stadium,Guadalajara,Mexico,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/match-schedule-fixtures-results-teams-stadiums,https://api.fifa.com/api/v3/calendar/matches?language=en&count=500&idCompetition=17&from=2026-06-01T00%3A00%3A00Z&to=2026-07-30T00%3A00%3A00Z
400021455,49,First Stage,Group C,Scotland,Brazil,False,,,,1,2026-06-24T22:00:00+00:00,2026-06-24T18:00:00-04:00,America/New_York,2026-06-25T06:00:00+08:00,Miami Stadium,Miami,USA,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/match-schedule-fixtures-results-teams-stadiums,https://api.fifa.com/api/v3/calendar/matches?language=en&count=500&idCompetition=17&from=2026-06-01T00%3A00%3A00Z&to=2026-07-30T00%3A00%3A00Z
400021452,50,First Stage,Group C,Morocco,Haiti,True,High-attention team,,,1,2026-06-24T22:00:00+00:00,2026-06-24T18:00:00-04:00,America/New_York,2026-06-25T06:00:00+08:00,Atlanta Stadium,Atlanta,USA,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/match-schedule-fixtures-results-teams-stadiums,https://api.fifa.com/api/v3/calendar/matches?language=en&count=500&idCompetition=17&from=2026-06-01T00%3A00%3A00Z&to=2026-07-30T00%3A00%3A00Z
400021451,51,First Stage,Group B,Switzerland,Canada,True,Host nation match,,,1,2026-06-24T19:00:00+00:00,2026-06-24T12:00:00-07:00,America/Vancouver,2026-06-25T03:00:00+08:00,BC Place Vancouver,Vancouver,Canada,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/match-schedule-fixtures-results-teams-stadiums,https://api.fifa.com/api/v3/calendar/matches?language=en&count=500&idCompetition=17&from=2026-06-01T00%3A00%3A00Z&to=2026-07-30T00%3A00%3A00Z
400021448,52,First Stage,Group B,Bosnia and Herzegovina,Qatar,False,,,,1,2026-06-24T19:00:00+00:00,2026-06-24T12:00:00-07:00,America/Los_Angeles,2026-06-25T03:00:00+08:00,Seattle Stadium,Seattle,USA,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/match-schedule-fixtures-results-teams-stadiums,https://api.fifa.com/api/v3/calendar/matches?language=en&count=500&idCompetition=17&from=2026-06-01T00%3A00%3A00Z&to=2026-07-30T00%3A00%3A00Z
400021444,53,First Stage,Group A,Czechia,Mexico,True,Host nation match,,,1,2026-06-25T01:00:00+00:00,2026-06-24T19:00:00-06:00,America/Mexico_City,2026-06-25T09:00:00+08:00,Mexico City Stadium,Mexico City,Mexico,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/match-schedule-fixtures-results-teams-stadiums,https://api.fifa.com/api/v3/calendar/matches?language=en&count=500&idCompetition=17&from=2026-06-01T00%3A00%3A00Z&to=2026-07-30T00%3A00%3A00Z
400021445,54,First Stage,Group A,South Africa,Korea Republic,True,High-attention team,,,1,2026-06-25T01:00:00+00:00,2026-06-24T19:00:00-06:00,America/Monterrey,2026-06-25T09:00:00+08:00,Monterrey Stadium,Monterrey,Mexico,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/match-schedule-fixtures-results-teams-stadiums,https://api.fifa.com/api/v3/calendar/matches?language=en&count=500&idCompetition=17&from=2026-06-01T00%3A00%3A00Z&to=2026-07-30T00%3A00%3A00Z
400021468,55,First Stage,Group E,Curaçao,Côte d'Ivoire,False,,,,1,2026-06-25T20:00:00+00:00,2026-06-25T16:00:00-04:00,America/New_York,2026-06-26T04:00:00+08:00,Philadelphia Stadium,Philadelphia,USA,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/match-schedule-fixtures-results-teams-stadiums,https://api.fifa.com/api/v3/calendar/matches?language=en&count=500&idCompetition=17&from=2026-06-01T00%3A00%3A00Z&to=2026-07-30T00%3A00%3A00Z
